CustomerID,Lookalikes
C0001,"[('C0152', 0.9993), ('C0160', 0.9647), ('C0134', 0.9312)]"
C0002,"[('C0029', 0.9957), ('C0192', 0.9803), ('C0025', 0.9677)]"
C0003,"[('C0036', 0.9823), ('C0177', 0.9759), ('C0144', 0.9737)]"
C0004,"[('C0175', 0.998), ('C0173', 0.9916), ('C0108', 0.9855)]"
C0005,"[('C0073', 0.9998), ('C0159', 0.9994), ('C0112', 0.9974)]"
C0006,"[('C0066', 0.9631), ('C0185', 0.9342), ('C0044', 0.9113)]"
C0007,"[('C0193', 0.9947), ('C0125', 0.9898), ('C0176', 0.9762)]"
C0008,"[('C0090', 0.9907), ('C0017', 0.9713), ('C0024', 0.9583)]"
C0009,"[('C0077', 0.9969), ('C0097', 0.9786), ('C0094', 0.9673)]"
C0010,"[('C0083', 0.9944), ('C0199', 0.9909), ('C0025', 0.9795)]"
C0011,"[('C0107', 0.998), ('C0153', 0.9158), ('C0023', 0.9092)]"
C0012,"[('C0046', 0.9813), ('C0136', 0.9719), ('C0126', 0.9702)]"
C0013,"[('C0054', 0.9943), ('C0022', 0.9901), ('C0087', 0.9861)]"
C0014,"[('C0151', 0.9914), ('C0058', 0.99), ('C0033', 0.9862)]"
C0015,"[('C0186', 0.9967), ('C0058', 0.9838), ('C0123', 0.9756)]"
C0016,"[('C0183', 0.9966), ('C0182', 0.9963), ('C0187', 0.9946)]"
C0017,"[('C0090', 0.9928), ('C0008', 0.9713), ('C0093', 0.968)]"
C0018,"[('C0187', 1.0), ('C0182', 0.9994), ('C0016', 0.9938)]"
C0019,"[('C0164', 0.9366), ('C0091', 0.9205), ('C0088', 0.9052)]"
C0020,"[('C0110', 0.996), ('C0167', 0.9932), ('C0078', 0.989)]"
